Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1004156.3","Candidatus Brocadia caroliniensis strain 26THWARD",,1004156,"WGS","26THWARD",,,,,,,,"2017-03-02T00:00:00Z","28088723","PRJNA228949","SAMN04504644","GCA_002009475.1",,"AYTS00000000",,"columbia university",,"IonTorrent","27.4x","SPAdes v. 3.5.0",,,209,3728197,43.5,4774,3636,,"red granules from wastewater plant treating high strength nitrogen located in the city of New York",,"Aug-2013","United States","USA: New York",,,,,,,,,,,,,,,,,,,"Unknown",,,"Facultative","Aquatic",,"Red granules found in one of the wastewater plants located in the city of New York was applied to metagenomic survey to determine taxonomic and functional classification.;derived from metagenome","sample_type:metagenomic assembly",91,86.4,90.3,19.2,,"Good","2017-03-20T08:35:41.585Z","2017-03-20T08:35:41.585Z"
"1036673.3","Paenibacillus mucilaginosus KNP414","Paenibacillus mucilaginosus KNP414",1036673,"Complete","KNP414/soil",,,,,,,,"2011-06-17T00:00:00Z",,"PRJNA67335","SAMN02603153","GCA_000218915.1",,"CP002869","NC_015690.1","College of Life Sciences, Zhejiang Sci-Tech University","complete",,,,1,,1,8663821,58.38,7440,7804,,,,,,,,,,,,,,,,,,,,,,,,,,"-",,,,,"Paenibacillus mucilaginosus strain KNP414 kept in the laboratory of Institute of Bioengineering, College of Life Sciences, Zhejiang Sci-Tech University.Paenibacillus mucilaginosus is critical silicate bacteria in the biogeochemical cycling of potassium, phosphorus, and other soil elements, and is widely used in agriculture, bioleaching, and wastewater treatment. P. mucilaginosus is able to degrade insoluble soil minerals with the release of nutritional ions and fix nitrogen, and thus it has been successfully used as a biofertilizer since the 1990s. The exocellular polysaccharides produced by P. mucilaginosus is also an effective bioflocculant, and thus plays a potential role in the treatment of wastewater and biohydrometallurgy. ",,94.1,90.6,99.3,0.9,,"Good","2014-12-08T22:12:29.597Z","2015-03-16T03:17:09.594Z"
"103816.9","Rhodococcus pyridinivorans strain DSM 44555",,103816,"WGS","DSM 44555",,,,,,"DSM:44555","Yes","2016-05-18T00:00:00Z",,"PRJNA306614","SAMN04357314","GCF_001646805.1",,"LRRI00000000",,"Northumbria University",,"Illumina MiSeq","41.0x","CLC NGS Cell v. 7.5.1",,,154,5181477,67.89,5100,,,"Industrial wastewater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Genome sequencing of the type strains of important species defined within genus Rhodococcus","sample_type:Bacterial culture;collected_by:J.H. Yoon",98.8,97,100,1,,"Good","2016-07-05T05:18:42.117Z","2016-07-05T05:18:42.117Z"
"1045773.4","Arthrobacter cupressi strain SW1",,1045773,"WGS","SW1",,,,,,,,"2016-10-13T00:00:00Z",,"PRJNA343737","SAMN05792587","GCF_001766675.1",,"MJLT00000000",,"Government Medical College",,"Illumina MiSeq","671.73x","A5-Miseq v. MAY-2015",,,69,4118123,66.58,3899,3764,,"sludge",,"2014-05-31","India","India: Gujrat",,,,,"env_biome:Wastewater",,,,,,,,,,,,,,,,,,,,"This project involves genomic characterization of the bacterial isolate Arthrobacter sp. strain SW1",,98.9,97.2,100,0.5,,"Good","2016-11-17T08:31:36.738Z","2016-11-17T08:31:36.738Z"
"1046982.4","Hydrogenedentes bacterium JGI 0000039-J10",,1046982,"WGS","JGI 0000039-J10",,,,,,,,"2013-04-23T00:00:00Z","23851394","PRJNA192295","SAMN02441727","GCA_000380785.1",,"AQYQ01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,120,2924052,36.90051,2573,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:16:55.895Z","2019-07-18T18:16:55.895Z"
"1046983.4","Hydrogenedentes bacterium JGI 0000059-N10",,1046983,"WGS","JGI 0000059-N10",,,,,,,,"2013-05-29T00:00:00Z","23851394","PRJNA192411","SAMN02441401","GCA_000402275.1",,"AQRV01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,72,1200286,36.96982,1089,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:16:50.486Z","2019-07-18T18:16:50.486Z"
"1047012.4","Caldiserica bacterium JGI 0000059-M03",,1047012,"WGS","JGI 0000059-M03",,,,,,,,"2013-05-29T00:00:00Z","23851394","PRJNA192323","SAMN02440395","GCA_000402575.1",,"AQSQ01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,30,503801,35.13064,570,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:17:02.903Z","2019-07-18T18:17:02.903Z"
"1047053.4","Atribacteria bacterium JGI 0000059-I14",,1047053,"WGS","JGI 0000059-I14",,,,,,,,"2013-05-16T00:00:00Z","23851394","PRJNA192319","SAMN02440949","GCA_000398445.1",,"ASLS01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,27,498825,34.724358,484,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:21:09.484Z","2019-07-18T18:21:09.484Z"
"1047055.4","Marinimicrobia bacterium JGI 0000039-D08",,1047055,"WGS","JGI 0000039-D08",,,,,,,,"2013-06-03T00:00:00Z","23851394","PRJNA192291","SAMN02441601","GCA_000405265.1",,"ASZK01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,103,2347190,47.44402,2163,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:21:56.868Z","2019-07-18T18:21:56.868Z"
"1047056.4","Marinimicrobia bacterium JGI 0000039-E15",,1047056,"WGS","JGI 0000039-E15",,,,,,,,"2013-05-29T00:00:00Z","23851394","PRJNA192292","SAMN02441063","GCA_000403015.1",,"AQSY01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,30,493984,47.20426,453,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:21:31.372Z","2019-07-18T18:21:31.372Z"
